Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
23-06-2022,1,275,3 out of 7,Super Area,Borivali East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,15000
07-07-2022,2,640,21 out of 21,Carpet Area,Mahajan Wadi,Mumbai,Semi-Furnished,Family,2,Contact Agent,22000
13-06-2022,3,1500,10 out of 23,Carpet Area,Film City,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,60000
13-06-2022,2,850,10 out of 23,Carpet Area,"Lakshchandi Height, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,49000
20-05-2022,2,900,12 out of 25,Carpet Area,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,34000
18-05-2022,1,430,6 out of 7,Carpet Area,"Bhoomi Elegant, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,24000
07-07-2022,4,1649,18 out of 29,Carpet Area,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,Family,3,Contact Agent,270000
11-05-2022,3,1100,12 out of 24,Carpet Area,Chandivali,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,69000
09-07-2022,3,1200,14 out of 35,Carpet Area,Worli,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,120000
17-06-2022,2,680,5 out of 20,Carpet Area,"Galassia, Kandarpada",Mumbai,Unfurnished,Family,2,Contact Agent,32000
25-05-2022,2,600,5 out of 7,Carpet Area,Charkop,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner,24000
07-06-2022,4,1560,12 out of 19,Carpet Area,"diamond garden, Chembur",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,100000
27-05-2022,5,4500,7 out of 20,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors,5,Contact Agent,600000
06-07-2022,2,771,20 out of 37,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,45000
09-07-2022,2,800,7 out of 22,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,80000
27-06-2022,2,800,5 out of 14,Super Area,"Mayuresh Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,37000
16-06-2022,3,1425,9 out of 35,Carpet Area,"The Primordial House, Kemps Corner",Mumbai,Furnished,Bachelors,4,Contact Agent,210000
27-06-2022,4,1750,5 out of 17,Carpet Area,"Godrej The Trees, Pirojshah Nagar",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,190000
27-05-2022,1,475,11 out of 15,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2,Contact Agent,25000
09-07-2022,4,2000,27 out of 27,Carpet Area,Vikhroli,Mumbai,Unfurnished,Bachelors,5,Contact Agent,210000
04-06-2022,3,1375,15 out of 60,Carpet Area,"Raheja Imperia, Worli",Mumbai,Semi-Furnished,Family,3,Contact Agent,200000
29-06-2022,5,2800,19 out of 33,Carpet Area,"MidCity Shikhar, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,310000
18-05-2022,1,650,1 out of 3,Super Area,Srinagarchs chembur west near sankralyammandir,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,26000
01-06-2022,2,600,18 out of 20,Carpet Area,"Royal Palms, Goregaon East",Mumbai,Unfurnished,Bachelors,2,Contact Agent,27000
29-04-2022,1,649,3 out of 3,Super Area,"Uttam Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,26000
29-06-2022,2,950,2 out of 8,Carpet Area,"Green Woods Chkala, Andheri East",Mumbai,Furnished,Bachelors,2,Contact Agent,60000
02-06-2022,1,225,7 out of 7,Carpet Area,Ashok Van,Mumbai,Unfurnished,Family,1,Contact Owner,12000
22-06-2022,2,1000,6 out of 10,Carpet Area,Malabar Hill,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,180000
09-07-2022,1,330,13 out of 40,Carpet Area,Malad East,Mumbai,Furnished,Family,1,Contact Agent,30000
25-06-2022,3,1200,8 out of 14,Carpet Area,Khar West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,100000
23-06-2022,3,1270,15 out of 60,Carpet Area,"Lodha Azzuro , Parel",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,140000
17-05-2022,3,920,14 out of 21,Carpet Area,"Safal Twins, Chembur",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,70000
26-05-2022,2,630,4 out of 22,Carpet Area,"SK Imperial Heights, Mira Road East",Mumbai,Unfurnished,Family,2,Contact Agent,20000
28-05-2022,2,670,4 out of 12,Carpet Area,"Prathamesh Heritage, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent,22000
04-06-2022,1,450,1 out of 5,Super Area,Andheri West,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,32000
28-04-2022,1,265,6 out of 7,Super Area,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,20000
06-07-2022,2,600,9 out of 11,Carpet Area,"K Raheja Maple Leaf, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,50000
04-07-2022,2,670,7 out of 7,Carpet Area,Amar Nagar,Mumbai,Unfurnished,Family,2,Contact Owner,29000
06-07-2022,2,650,10 out of 18,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,45000
02-06-2022,1,422,9 out of 15,Carpet Area,Nalasopara West,Mumbai,Semi-Furnished,Family,2,Contact Agent,6500
12-06-2022,2,955,8 out of 22,Carpet Area,"MJ Shah Centrio, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,55000
27-06-2022,3,1100,6 out of 13,Carpet Area,Kurla,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,69999
08-05-2022,1,300,3 out of 4,Carpet Area,JL Tambe Nagar,Mumbai,Unfurnished,Bachelors,1,Contact Owner,18500
30-06-2022,2,900,5 out of 17,Carpet Area,"Dheeraj Valley Tower, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,50000
28-06-2022,2,785,2 out of 7,Carpet Area,Chakala,Mumbai,Unfurnished,Bachelors,2,Contact Agent,45000
03-06-2022,3,1350,20 out of 31,Carpet Area,"HDIL Metropolis, 4 Bunglows",Mumbai,Furnished,Family,3,Contact Agent,85000
06-06-2022,2,900,27 out of 45,Carpet Area,"Ruparel Ariana, Parel",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,85000
27-06-2022,1,400,18 out of 23,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors,1,Contact Agent,25000
27-05-2022,2,800,19 out of 20,Carpet Area,"Sethia Grandeur, Bandra East",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,75000
09-07-2022,2,895,32 out of 46,Carpet Area,"Indiabulls Blu, Worli",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,190000
27-06-2022,1,625,10 out of 12,Super Area,Dahisar East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,20000
23-06-2022,2,720,5 out of 14,Carpet Area,"Samarth Garden, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,30000
04-07-2022,2,750,4 out of 13,Carpet Area,"Utkarsh CHS, Prabhadevi",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,75000
08-06-2022,3,1663,19 out of 85,Carpet Area,"Indiabulls Blu, Worli Naka Acharaya Atre Chowk",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,350000
06-07-2022,2,660,Ground out of 6,Carpet Area,Azad Nagar Colaba,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,70000
30-06-2022,2,700,Ground out of 7,Carpet Area,"MUKTA MAHEK, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,32000
23-06-2022,1,377,3 out of 23,Super Area,"Srishti Elegance, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,22000
04-06-2022,2,650,5 out of 6,Carpet Area,Thakur Complex,Mumbai,Semi-Furnished,Family,2,Contact Agent,35000
31-05-2022,2,650,5 out of 7,Carpet Area,"117 Residency, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,47000
09-07-2022,4,2080,34 out of 46,Carpet Area,"Indiabulls Blu, Worli",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,400000
08-06-2022,2,700,2 out of 8,Super Area,"Sai Aasha Daya, Mulund East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,31000
12-05-2022,1,430,1 out of 7,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,60000
16-06-2022,2,650,15 out of 24,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Unfurnished,Family,2,Contact Agent,58000
14-06-2022,3,890,4 out of 27,Carpet Area,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,85000
09-07-2022,2,965,19 out of 27,Super Area,Bhakti Park,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,45000
02-07-2022,1,630,3 out of 12,Super Area,"Sumit Greendale, Chikhal Dongari",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,7500
14-05-2022,4,2100,35 out of 60,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,250000
09-07-2022,3,1100,9 out of 16,Carpet Area,"Badrinath Tower, Amit Nagar",Mumbai,Furnished,Family,3,Contact Agent,150000
29-06-2022,2,730,4 out of 6,Carpet Area,Perry Rd,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,80000
18-05-2022,3,1380,9 out of 22,Carpet Area,"Thakur Jewel, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,75000
17-06-2022,3,1100,17 out of 22,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,66000
09-07-2022,1,450,5 out of 7,Carpet Area,Mahim West,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent,45000
04-07-2022,1,500,3 out of 4,Super Area,"Madhugiri Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,22000
09-07-2022,3,1100,9 out of 20,Carpet Area,"Raheja Heights, Malad East",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,65000
25-05-2022,3,868,9 out of 21,Carpet Area,"Orchid Suburbia, Bander Pakhadi",Mumbai,Unfurnished,Family,3,Contact Agent,55000
18-06-2022,2,750,6 out of 15,Carpet Area,"Omkar Meridia, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,55000
28-04-2022,1,540,2 out of 3,Super Area,in Mahim West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,36000
16-06-2022,4,2100,21 out of 33,Carpet Area,"Hiranandani Gardens Odyssey I, Hiranandani Gardens",Mumbai,Furnished,Family,5,Contact Agent,230000
06-07-2022,1,450,4 out of 7,Carpet Area,Charkop Sector 6,Mumbai,Semi-Furnished,Family,2,Contact Agent,22000
31-05-2022,3,1600,25 out of 52,Carpet Area,"Crescent Bay Callisto, Parel",Mumbai,Semi-Furnished,Family,4,Contact Agent,170000
28-04-2022,1,560,3 out of 7,Super Area,Serenity Complex,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner,34000
02-06-2022,1,500,2 out of 3,Carpet Area,"Irla, Vile Parle West",Mumbai,Unfurnished,Bachelors,1,Contact Agent,45000
23-05-2022,1,305,2 out of 24,Carpet Area,Kandivali West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,14000
09-06-2022,3,970,1 out of 3,Carpet Area,"Paras Building, Sion East",Mumbai,Furnished,Bachelors/Family,2,Contact Owner,75000
04-06-2022,1,480,4 out of 4,Carpet Area,Taloja Phase 2,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,7000
31-05-2022,2,720,1 out of 6,Carpet Area,"diamond garden, Chembur East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,55000
09-07-2022,2,950,7 out of 10,Carpet Area,"Valentine Apartments, Gokuldham",Mumbai,Semi-Furnished,Family,2,Contact Agent,55000
27-06-2022,4,3200,24 out of 24,Carpet Area,"Lady Ratan Tower, Worli",Mumbai,Furnished,Bachelors/Family,4,Contact Agent,700000
16-06-2022,3,1450,18 out of 33,Carpet Area,"Hiranandani Gardens Torino, Hiranandani Gardens",Mumbai,Furnished,Family,3,Contact Agent,140000
23-06-2022,2,774,10 out of 20,Carpet Area,"Lokhandwala Octacrest, Lokhandwala Twp",Mumbai,Semi-Furnished,Family,2,Contact Agent,42000
23-06-2022,1,450,2 out of 3,Super Area,Andheri West,Mumbai,Unfurnished,Family,1,Contact Agent,27000
09-06-2022,3,1000,1 out of 10,Carpet Area,Malad West,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,60000
23-06-2022,1,340,1 out of 8,Super Area,Goregaon East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,17000
26-05-2022,1,430,14 out of 23,Carpet Area,"Sindhi Society, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,30000
31-05-2022,2,722,4 out of 7,Carpet Area,"Alpine Apartments, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,45000
25-06-2022,3,1152,12 out of 21,Carpet Area,"Kabra Metro One, Seven Bungalows",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,90000
28-04-2022,1,641,3 out of 8,Super Area,Borivali West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,25000
14-06-2022,2,810,4 out of 11,Carpet Area,"Vintage Pearl Apartment, Bandra West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,70000
04-06-2022,2,800,5 out of 6,Carpet Area,Vile Parle West,Mumbai,Furnished,Family,2,Contact Agent,90000
07-07-2022,2,875,12 out of 14,Carpet Area,Bandra West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,110000
04-05-2022,2,700,8 out of 22,Super Area,"Man Opus, Mira Road",Mumbai,Unfurnished,Family,2,Contact Owner,20000
15-06-2022,1,420,Ground out of 3,Super Area,in Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,35000
23-06-2022,3,1400,1 out of 2,Carpet Area,Ghatkopar,Mumbai,Furnished,Bachelors/Family,3,Contact Owner,80000
13-05-2022,2,758,12 out of 24,Carpet Area,"L&T Emerald Isle, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,54500
07-06-2022,4,2880,45 out of 60,Carpet Area,"Lodha World Crest, Lower Parel",Mumbai,Unfurnished,Bachelors,5,Contact Agent,350000
20-06-2022,1,480,7 out of 7,Carpet Area,Seven Bungalows,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,45000
17-06-2022,1,550,6 out of 10,Carpet Area,Sion East,Mumbai,Unfurnished,Bachelors,2,Contact Agent,38000
07-07-2022,2,900,60 out of 71,Carpet Area,"Lodha Venezia, Parel",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,90000
27-05-2022,1,400,8 out of 22,Super Area,Bhoiwada,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,22000
09-07-2022,2,760,9 out of 22,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,70000
07-06-2022,4,2800,36 out of 81,Carpet Area,"World One Tower Mumbai, Worli",Mumbai,Unfurnished,Bachelors,5,Contact Agent,380000
20-06-2022,1,400,10 out of 22,Carpet Area,"Hiranandani Regent Hill, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,50000
07-07-2022,4,1962,18 out of 20,Carpet Area,Khar West,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,680000
09-07-2022,3,1100,6 out of 12,Carpet Area,Waterfield Road,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,140000
27-05-2022,2,800,1 out of 3,Super Area,in Borivali West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,40000
07-07-2022,2,590,7 out of 12,Carpet Area,"Saaga Mrunali CHS, Shantivan",Mumbai,Unfurnished,Family,2,Contact Agent,32000
06-07-2022,2,600,14 out of 22,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,78000
25-05-2022,4,2500,24 out of 60,Carpet Area,"Bombay Dyeing Two ICC, Dadar TT Circle",Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent,280000
06-07-2022,2,670,17 out of 22,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,45000
09-06-2022,2,960,16 out of 38,Carpet Area,"Dosti Ambrosia, Wadala East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,65000
21-06-2022,2,1500,4 out of 4,Super Area,in Sion,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner,65000
08-06-2022,1,500,1 out of 5,Super Area,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,35000
28-05-2022,3,1120,8 out of 45,Carpet Area,"DB Woods, Gokuldham",Mumbai,Furnished,Family,2,Contact Agent,90000
27-05-2022,4,2729,20 out of 27,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Bachelors,5,Contact Agent,250000
30-06-2022,3,3354,Ground out of 16,Carpet Area,Talagatta Pura,Bangalore,Furnished,Bachelors/Family,3,Contact Agent,70000
23-06-2022,2,800,3 out of 4,Super Area,Nagappa Reddy layout-Dooravani Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10500
04-07-2022,2,1000,Ground out of 4,Super Area,"Kattigenahalli, Bellary Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,13000
04-06-2022,2,1040,4 out of 4,Super Area,C V Raman Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,17000
04-06-2022,3,1403,1 out of 4,Super Area,"Chikkalasandra, Bangalore",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,21000
04-06-2022,2,600,3 out of 4,Super Area,Talaghattapura,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,10000
09-07-2022,4,2608,1 out of 4,Carpet Area,Malleshwaram,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,61500
11-05-2022,2,850,1 out of 3,Carpet Area,"Ramaiah Layout, Kacharakanahalli",Bangalore,Semi-Furnished,Family,2,Contact Agent,13000
04-06-2022,1,400,1 out of 2,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,7500
04-06-2022,2,1000,3 out of 4,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,17000
23-06-2022,3,1350,5 out of 14,Carpet Area,Kengeri Main Road,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner,25000
10-05-2022,2,800,1 out of 2,Carpet Area,Ramamurthy Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10500
04-05-2022,1,350,3 out of 3,Super Area,Thanisandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
10-05-2022,1,900,Ground out of 2,Super Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9500
06-07-2022,3,2000,1 out of 2,Carpet Area,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,50000
09-05-2022,2,700,1 out of 4,Super Area,"Vinayakanagar, Hebbal",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,13000
20-05-2022,1,600,1 out of 4,Super Area,venkatapuram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,13500
16-06-2022,2,700,Ground out of 1,Carpet Area,"Vv Nagar, Bikasipura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,13000
02-06-2022,1,600,2 out of 4,Super Area,C V Raman Nagar,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,15000
10-05-2022,2,1400,Ground out of 1,Super Area,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,15000
10-05-2022,1,600,Ground out of 3,Super Area,Kacharakanahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,7000
10-05-2022,2,770,8 out of 32,Super Area,Tumkur Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,25000
25-06-2022,2,900,1 out of 2,Carpet Area,Babusahib Palya,Bangalore,Semi-Furnished,Family,2,Contact Owner,17000
23-06-2022,1,500,Ground out of 3,Super Area,"Kumaraswamy Layout, Kumaraswamy Layout",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,7500
27-05-2022,2,1100,1 out of 2,Super Area,Nri Layout,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,15000
27-06-2022,1,500,1 out of 2,Super Area,"Balaji Layout -Hongasandra, Hongasandra",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
28-04-2022,3,1260,Ground out of 2,Super Area,Vijaya Bank Layout,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,25000
30-06-2022,3,1750,2 out of 4,Carpet Area,"Jaya Nagar Block 1, Jayanagar",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,54000
24-05-2022,1,600,1 out of 3,Carpet Area,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,14500
20-06-2022,1,450,Ground out of 3,Super Area,Nelamangala,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4500
27-06-2022,2,800,3 out of 4,Super Area,Yelahanka New Town,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10500
27-05-2022,1,400,Ground out of 2,Super Area,Hongasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,5500
13-06-2022,2,600,1 out of 2,Carpet Area,Girinagar,Bangalore,Unfurnished,Bachelors,2,Contact Owner,16000
04-06-2022,1,400,Ground out of 2,Super Area,T Dasarahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,7000
20-06-2022,2,900,Ground out of 3,Super Area,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,12500
08-06-2022,2,1200,Ground out of 4,Super Area,Jogupalya,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
04-05-2022,2,1045,1 out of 2,Carpet Area,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,18000
02-05-2022,3,1021,10 out of 10,Carpet Area,"Balaji Gardens Layout, Gottigere",Bangalore,Furnished,Bachelors,3,Contact Owner,28000
17-06-2022,3,1200,Ground out of 4,Super Area,in Bannerghatta Road,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,12000
23-05-2022,2,1000,1 out of 3,Carpet Area,"Electronic City Phase 2, Electronic City",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,13000
18-05-2022,2,1280,2 out of 12,Carpet Area,Hebbal,Bangalore,Furnished,Bachelors/Family,2,Contact Agent,50000
21-06-2022,1,450,1 out of 2,Carpet Area,Jalahalli East,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7000
14-06-2022,2,450,2 out of 3,Super Area,"Garebhavipalya, Hongasandra, Hosur Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,30000
08-06-2022,1,600,3 out of 4,Super Area,Btm Layout Stage 4,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10000
04-05-2022,2,800,2 out of 3,Super Area,Konanakunte,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,15000
04-06-2022,1,500,2 out of 4,Super Area,Basaveshwar Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,7500
06-07-2022,3,1680,7 out of 19,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,45000
06-07-2022,3,2000,23 out of 40,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,65000
06-07-2022,1,500,1 out of 4,Carpet Area,Koramangala Block 4,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,12000
06-07-2022,1,500,2 out of 2,Carpet Area,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,7000
20-06-2022,1,800,2 out of 3,Super Area,Mahadevapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,9000
20-06-2022,2,1100,2 out of 3,Super Area,Banaswadi,Bangalore,Semi-Furnished,Family,2,Contact Owner,23000
20-06-2022,2,1200,3 out of 4,Super Area,"Kalasipalyam, Kalasipalyam",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,30000
27-05-2022,1,500,2 out of 3,Carpet Area,"Tilak Nagar, Jayanagar, bannerghatta main Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8000
12-06-2022,2,1155,3 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Family,2,Contact Owner,16000
21-06-2022,1,440,3 out of 4,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
18-05-2022,2,1040,1 out of 7,Carpet Area,Sarjapur Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,20000
27-05-2022,4,2900,7 out of 18,Carpet Area,whitefield,Bangalore,Furnished,Bachelors,4,Contact Agent,110000
07-07-2022,3,1200,1 out of 2,Super Area,Nagondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,30000
30-06-2022,3,1600,2 out of 3,Super Area,"Isro Layout, Kumaraswamy Layout",Bangalore,Semi-Furnished,Family,3,Contact Agent,20000
11-05-2022,4,3150,8 out of 19,Carpet Area,Banashankari,Bangalore,Unfurnished,Bachelors,4,Contact Owner,84000
08-06-2022,2,1000,2 out of 4,Super Area,JAR Shikara,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,17000
04-07-2022,2,1200,1 out of 2,Super Area,Medahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,15000
26-05-2022,1,400,4 out of 5,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6000
16-06-2022,2,950,1 out of 1,Carpet Area,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,16000
07-06-2022,2,530,1 out of 3,Carpet Area,Byatarayanapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9500
16-06-2022,1,300,Ground out of 2,Carpet Area,"Udayanagar Extension, Mahadevapura",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8000
22-06-2022,2,1000,Ground out of 3,Super Area,"Dwarka Nagar, Kattigenahalli",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,15000
23-05-2022,1,450,3 out of 3,Super Area,Btm Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,12000
06-06-2022,1,600,Ground out of 1,Carpet Area,"Jeevan Bima Nagar, Airport Road",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,10000
23-06-2022,2,1100,2 out of 4,Super Area,"Jaya Nagar Block 7, Jayanagar",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,16000
30-06-2022,1,400,1 out of 4,Super Area,Chamrajpet,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,11000
